Misc,playerID,birthYear,birthCountry,birthCity,deathYear,deathCountry,deathCity,nameFirst,nameLast,Birthplace,geoname_id,continent_code,country_iso_code,country_name,city_name,registered_country_geoname_id,latitude,longitude
0,aardsda01,1981,United States,Denver,,,,David,Aardsma,United States Denver,4463523,,US,United States,Denver,6252001,35.4837,-80.9898
4,aaronha01,1934,United States,Mobile,,,,Hank,Aaron,United States Mobile,4076598,,US,United States,Mobile,6252001,30.6605,-88.1618
5,aaronto01,1939,United States,Mobile,1984,USA,Atlanta,Tommie,Aaron,United States Mobile,4076598,,US,United States,Mobile,6252001,30.6605,-88.1618
6,aasedo01,1954,United States,Orange,,,,Don,Aase,United States Orange,4716805,,US,United States,Orange,6252001,30.0709,-93.8659
12,abadan01,1972,United States,Palm Beach,,,,Andy,Abad,United States Palm Beach,4167505,,US,United States,Palm Beach,6252001,26.7206,-80.0388
14,abadijo01,1850,United States,Philadelphia,1905,USA,Pemberton,John,Abadie,United States Philadelphia,4440906,,US,United States,Philadelphia,6252001,32.7572,-89.1154
18,abbated01,1877,United States,Latrobe,1957,USA,Fort Lauderdale,Ed,Abbaticchio,United States Latrobe,5197227,,US,United States,Latrobe,6252001,40.2917,-79.4054
19,abbeybe01,1869,United States,Essex,1962,USA,Colchester,Bert,Abbey,United States Essex,4354428,,US,United States,Essex,6252001,39.3055,-76.4518
24,abbeych01,1866,United States,Falls City,1926,USA,San Francisco,Charlie,Abbey,United States Falls City,4690097,,US,United States,Falls City,6252001,28.9814,-98.0156
25,abbotda01,1862,United States,Portage,1930,USA,Ottawa Lake,Dan,Abbott,United States Portage,4925006,,US,United States,Portage,6252001,41.5681,-87.1749
30,abbotfr01,1874,United States,Versailles,1935,USA,Los Angeles,Fred,Abbott,United States Versailles,4266266,,US,United States,Versailles,6252001,39.0511,-85.2235
34,abbotgl01,1951,United States,Little Rock,,,,Glenn,Abbott,United States Little Rock,4119403,,US,United States,Little Rock,6252001,34.6725,-92.3529
