,year,country,count,height,weight
0,1980,United States,731,73.99589603283174,208.6032831737346
1,1935,United States,433,72.95612009237875,187.66050808314088
2,1940,United States,476,72.98109243697479,186.39915966386553
3,1955,United States,697,73.38450502152081,188.72596843615494
4,1970,United States,771,73.71984435797665,194.38261997405965
5,1985,United States,857,73.96849474912486,211.38389731621936
6,1850,United States,102,68.76470588235294,162.02941176470588
7,1875,United States,376,70.16755319148936,171.95212765957447
8,1870,United States,310,69.93870967741935,170.23548387096776
9,1865,United States,379,69.55145118733509,168.51451187335093
10,1860,United States,280,69.60714285714286,170.52142857142857
11,1950,United States,612,73.15849673202614,187.67320261437908
12,1965,United States,746,73.52949061662198,191.5201072386059
13,1885,United States,598,70.77759197324414,173.30434782608697
14,1925,United States,462,72.13852813852814,182.03679653679654
15,1930,United States,468,72.47222222222223,184.57905982905982
16,1975,United States,708,73.86864406779661,200.40112994350284
17,1920,United States,560,72.14107142857142,183.31964285714287
18,1915,United States,634,71.9826498422713,181.7539432176656
19,1900,United States,593,70.89713322091062,173.08263069139966
20,1960,United States,677,73.40620384047267,188.83161004431315
21,1990,United States,796,74.12562814070351,209.39572864321607
22,1945,United States,616,73.0,187.30194805194805
23,1890,United States,764,70.83376963350786,171.78795811518324
24,1895,United States,719,70.8442280945758,172.83866481223922
25,1995,United States,222,74.009009009009,205.23423423423424
26,1905,United States,539,71.31168831168831,175.99814471243042
27,1910,United States,495,71.63636363636364,179.04646464646464
28,1880,United States,423,70.38297872340425,173.60756501182033
29,1855,United States,164,69.04878048780488,166.32926829268294
30,1840,United States,10,68.6,156.6
31,1845,United States,51,68.70588235294117,156.6078431372549
32,1835,United States,1,63.0,161.0
33,2000,United States,0,0.0,0.0
34,1980,North America,181,73.30386740331491,204.55248618784532
35,1935,North America,49,71.87755102040816,177.6734693877551
36,1940,North America,53,71.77358490566037,174.96226415094338
37,1955,North America,65,71.56923076923077,172.95384615384614
38,1970,North America,148,72.72972972972973,185.75
39,1985,North America,184,72.95108695652173,208.41847826086956
40,1850,North America,2,68.0,147.5
41,1875,North America,8,70.625,169.375
42,1870,North America,4,71.25,173.5
43,1865,North America,11,69.72727272727273,177.1818181818182
44,1860,North America,24,69.29166666666667,165.83333333333334
45,1950,North America,67,71.58208955223881,169.955223880597
46,1965,North America,119,72.43697478991596,180.78151260504202
47,1885,North America,10,69.6,166.0
48,1925,North America,24,71.08333333333333,174.875
49,1930,North America,33,71.93939393939394,175.93939393939394
50,1975,North America,196,72.77551020408163,195.83673469387756
51,1920,North America,25,71.52,181.24
52,1915,North America,20,71.3,177.7
53,1900,North America,1,71.0,185.0
54,1960,North America,58,72.51724137931035,176.67241379310346
55,1990,North America,187,73.2192513368984,208.5133689839572
56,1945,North America,46,72.34782608695652,178.52173913043478
57,1890,North America,11,68.18181818181819,163.8181818181818
58,1895,North America,12,68.91666666666667,162.33333333333334
59,1995,North America,98,73.44897959183673,200.41836734693877
60,1905,North America,3,69.33333333333333,160.0
61,1910,North America,13,70.23076923076923,171.6153846153846
62,1880,North America,12,70.91666666666667,175.75
63,1855,North America,13,69.53846153846153,170.53846153846155
64,1840,North America,1,68.0,160.0
65,1845,North America,0,0.0,0.0
66,1835,North America,0,0.0,0.0
67,2000,North America,1,73.0,185.0
68,1980,South America,68,72.3529411764706,205.5735294117647
69,1935,South America,4,69.25,157.5
70,1940,South America,7,70.14285714285714,168.57142857142858
71,1955,South America,8,72.25,182.125
72,1970,South America,27,72.92592592592592,190.92592592592592
73,1985,South America,87,72.5632183908046,210.93103448275863
74,1850,South America,0,0.0,0.0
75,1875,South America,1,67.0,175.0
76,1870,South America,0,0.0,0.0
77,1865,South America,0,0.0,0.0
78,1860,South America,0,0.0,0.0
79,1950,South America,5,71.0,161.6
80,1965,South America,19,72.15789473684211,174.57894736842104
81,1885,South America,0,0.0,0.0
82,1925,South America,1,72.0,170.0
83,1930,South America,1,63.0,140.0
84,1975,South America,46,72.54347826086956,198.34782608695653
85,1920,South America,1,70.0,167.0
